"Codigo";"Descripcion";"Capacidad";"Grupo";"TS Estandar";
"000001";"MERCADERIA SALDOS";"001000";"0147";"503";
"000002";"CINTA PELIGRO X 100 MTS DOBLE FAZ";"001000";"0165";"503";
"000003";"CINTA PELIGRO X 200 MTS DOBLE FAZ";"001000";"0165";"503";
"000004";"PISTOLA APLICADORA SKELETOR REFORZADA";"001000";"0165";"503";
"000005";"PORTA PINCEL MAGNETICO";"001000";"0165";"503";
"000006";"COBERTURA PLASTICA MULTIUSO 3X3MTS.";"001000";"0165";"503";
"000007";"COBERTURA PLASTICA MULTIUSO 3X4MTS.";"001000";"0165";"503";
"000008";"COBERTURA PLASTICA MULTIUSO 3X5MTS.";"001000";"0165";"503";
"000009";"FONDO ANTIOXIDO COLORIN ROJO X  0,250";"000250";"0116";"503";
"000010";"ESMALTE SINTETICO TERSUAVE 2EN1 MATE NEGRO X  0,500";"000500";"0152";"503";
"000011";"ESMALTE SINTETICO TERSUAVE 2EN1 MATE NEGRO X  1";"001001";"0152";"503";
"000012";"ESMALTE SINTETICO TERSUAVE 2EN1 MATE NEGRO X  4";"004000";"0152";"503";
"000013";"ESMALTE SINTETICO TERSUAVE 2EN1 MATE BLANCO X  0,500";"000500";"0152";"503";
"000014";"ESMALTE SINTETICO TERSUAVE 2EN1 MATE BLANCO X  1";"001001";"0152";"503";
"000015";"ESMALTE SINTETICO TERSUAVE 2EN1 MATE BLANCO X  4";"004000";"0152";"503";
"000016";"FONDO ANTIOXIDO COLORIN ROJO X  0,500";"000500";"0116";"503";
"000017";"FONDO ANTIOXIDO COLORIN ROJO X  1";"001001";"0116";"503";
"000018";"FONDO ANTIOXIDO COLORIN ROJO X  4";"004000";"0116";"503";
"000019";"FONDO ANTIOXIDO COLORIN ROJO X 20";"020000";"0116";"503";
"000020";"FONDO PARA MADERA COLORIN BLANCO X  0,500";"000500";"0116";"503";
"000021";"FONDO PARA MADERA COLORIN BLANCO X  1";"001001";"0116";"503";
"000022";"FONDO PARA MADERA COLORIN BLANCO X  4";"004000";"0116";"503";
"000023";"FONDO PARA MADERA COLORIN BLANCO X 20";"020000";"0116";"503";
"000024";"AUTOPOLISH COLORIN AUTOCERA X 0,450";"000450";"0166";"503";
"000025";"AUTOPOLISH COLORIN BICAPA X 0,450";"000450";"0166";"503";
"000026";"BARNIZ PARA MADERA EXTERIOR ALBATROS AL AGUA BRILLANTE INCOLORO X 1";"001001";"0902";"503";
"000027";"BARNIZ PARA MADERA EXTERIOR ALBATROS AL AGUA BRILLANTE INCOLORO X 4";"004000";"0902";"503";
