"Cod. Tabla";"Cod.Producto";"Grupo";"Precio Venta";
"500";"000002";"0165";"4144,813";
"500";"000003";"0165";"5309,377";
"500";"000004";"0165";"4815,5115";
"500";"000005";"0165";"1150,05";
"500";"000006";"0165";"3758,7775";
"500";"000007";"0165";"5073,5655";
"500";"000008";"0165";"6549,4425";
"500";"000010";"0152";"8541,855";
"500";"000011";"0152";"13222,47";
"500";"000012";"0152";"47521,657";
"500";"000013";"0152";"10067,859";
"500";"000014";"0152";"15898,658";
"500";"000015";"0152";"58677,922";
"500";"000024";"0166";"6911,575";
"500";"000025";"0166";"8346,7595";
"500";"000026";"0902";"26143,2675";
"500";"000027";"0902";"98836,3575";
"500";"000028";"0902";"61868,5695";
"500";"000041";"0107";"21452,625";
"500";"000042";"0107";"73973,2725";
"500";"000043";"0165";"7323,584";
"500";"000044";"0165";"3025,8";
"500";"000046";"0165";"3941,248";
"500";"000050";"0165";"5413,599";
"500";"000051";"0177";"6877,75";
"500";"000052";"0176";"4109,1225";
"500";"000054";"0137";"21019,511";
"500";"000055";"0137";"75697,521";
"500";"000057";"0137";"19789,8595";
"500";"000058";"0137";"71901,5975";
"500";"000059";"0137";"20443,1945";
"500";"000060";"0902";"74307,498";
"500";"000063";"0150";"24190,474";
"500";"000064";"0150";"86209,574";
"500";"000067";"0105";"29725,41";
"500";"000068";"0105";"102500,7585";
"500";"000071";"0176";"10241,0005";
"500";"000072";"0152";"201175,422";
"500";"000073";"0134";"76162,35";
"500";"000074";"0134";"74065,838";
"500";"000083";"0137";"12823,8775";
"500";"000084";"0137";"13246,895";
"500";"000085";"0129";"4734,311";
"500";"000086";"0137";"9162,557";
"500";"000087";"0166";"6908,5";
"500";"000088";"0902";"17887,0495";
"500";"000089";"0152";"5725,482";
"500";"000096";"0105";"15802,22";
"500";"000097";"0107";"196684,954";
"500";"000100";"0107";"83151,198";
"500";"000102";"0137";"24129,1765";
"500";"000103";"0148";"7583,625";
"500";"000105";"0107";"47847,0375";
"500";"000106";"0107";"164988,45";
"500";"000107";"0123";"650,1165";
"500";"000108";"0176";"7036,584";
"500";"000110";"0107";"16504,2675";
"500";"000111";"0107";"53640,8325";
"500";"000112";"0176";"2651,4905";
"500";"000113";"0107";"187971,224";
"500";"000114";"0107";"25846,2";
"500";"000115";"0107";"84000,8025";
"500";"000116";"0107";"164843,698";
"500";"000117";"0107";"294363,067";
"500";"000118";"0107";"11872,9125";
"500";"000119";"0107";"38588,3325";
"500";"000120";"0176";"3301,9555";
"500";"000121";"0107";"135223,0225";
"500";"000124";"0902";"22236,501";
"500";"000128";"0138";"47932,6695";
"500";"000129";"0138";"181983,5225";
"500";"000130";"0152";"6628,991";
"500";"000131";"0152";"242745,468";
"500";"000132";"0107";"75725,278";
"500";"000133";"0107";"1859,265";
"500";"000134";"0107";"1859,265";
"500";"000135";"0107";"1859,265";
"500";"000136";"0107";"1859,265";
"500";"000137";"0107";"1859,265";
"500";"000138";"0107";"1859,265";
"500";"000139";"0107";"1859,265";
"500";"000140";"0107";"1859,265";
"500";"000141";"0107";"1859,265";
"500";"000142";"0107";"1859,265";
"500";"000143";"0107";"1859,265";
"500";"000144";"0107";"5508,9";
"500";"000145";"0107";"5508,9";
"500";"000146";"0107";"5508,9";
"500";"000147";"0107";"5508,9";
"500";"000148";"0107";"5508,9";
"500";"000149";"0107";"5508,9";
"500";"000150";"0107";"5508,9";
"500";"000151";"0107";"5508,9";
"500";"000152";"0107";"5508,9";
"500";"000153";"0107";"5508,9";
"500";"000154";"0107";"5508,9";
"500";"000158";"0107";"23720,7375";
"500";"000159";"0107";"81794,7675";
"500";"000160";"0107";"11818,755";
"500";"000161";"0107";"20162,0475";
"500";"000162";"0107";"69525,5625";
"500";"000163";"0145";"22667,421";
"500";"000164";"0107";"124223,4605";
"500";"000165";"0107";"105264,1175";
"500";"000167";"0107";"21127,68";
"500";"000168";"0107";"72853,0875";
"500";"000169";"0107";"8656,3575";
"500";"000170";"0107";"13377,51";
"500";"000171";"0107";"22819,8375";
"500";"000172";"0107";"78690,4875";
"500";"000173";"0107";"322630,968";
"500";"000174";"0145";"20781,873";
"500";"000176";"0107";"18485,73";
"500";"000177";"0107";"60080,58";
"500";"000178";"0107";"17270,4375";
"500";"000179";"0107";"53968,4325";
"500";"000180";"0107";"7569,18";
"500";"000181";"0107";"21866,1075";
"500";"000182";"0107";"9083,025";
"500";"000183";"0107";"26239,8375";
"500";"000185";"0145";"24183,117";
"500";"000189";"0902";"24183,117";
"500";"000193";"0107";"255721,7355";
