"Cod. Grupo";"Desc. Grupo";
"0101";"3D ARGENTINA";
"0102";"ABRASIVOS ARGENTINOS";
"0103";"ACCESORIOS VARIOS";
"0104";"ADIABATIC";
"0105";"AKZO NOBEL - CETOL";
"0106";"AKZO NOBEL - BRIKOL";
"0107";"ALBA HOGAR";
"0108";"ALBA TINTING";
"0109";"ALBA GLIDDEN";
"0110";"ALBA INDUSTRIA";
"0111";"INTERNATIONAL";
"0112";"ALBA PLUS PROTECTION";
"0113";"ARGENSAFE ESC de ALUMINIO";
"0114";"ATENNEAS";
"0115";"CANE";
"0116";"COLORIN";
"0117";"COLORIN AUTOMOTOR";
"0118";"COLORIN TITANIO";
"0119";"COLVINIL";
"0120";"DIXILINA";
"0121";"DIXILINA VERTIENTE";
"0122";"ENVASES PLAST y HOJALATA";
"0123";"PETRILAC FERRO BET";
"0124";"INDUQUIMIKA";
"0125";"FUCO";
"0126";"LA HACENDOSA";
"0127";"LE MANS";
"0128";"LUMAR";
"0129";"MAGIPLAST";
"0130";"MEGAFLEX";
"0131";"PPG 2K";
"0132";"PPG ACS";
"0133";"PPG DELFLEET";
"0134";"PPG DELTRON";
"0135";"NEXA-ZYNAMIX - (discontinuado)";
"0136";"NODULO";
"0137";"MMB";
"0138";"PETRILAC";
"0139";"PLAVICON";
"0140";"POXIPOL";
"0141";"RESOL";
"0142";"REVEAR";
"0143";"ROGUANT";
"0144";"ROSARPIN";
"0145";"RUST OLEUM - AUTOMOTOR";
"0146";"RUST OLEUM - PEQUE OS PROYECTO";
"0147";"SALDOS";
"0148";"SANTA JUANA";
"0149";"SIN FIN";
"0150";"SINTEPLAST";
"0151";"SINTEPLAST SISTEMA";
"0152";"TERSUAVE";
"0153";"TERSUAVE INDUSTRIA";
"0154";"TERSUAVE SISTEMA";
"0155";"THINNER TEDE";
"0156";"WATERLINE";
"0157";"ZEOCAR";
"0158";"RUST OLEUM - INDUSTRIA";
"0159";"ALBA  ALABASTINE";
"0160";"RUST OLEUM - MADERA";
"0161";"EQQUS";
"0162";"PPG INDUSTRIA";
"0163";"WEBER CONSTRUCCIONES";
"0164";"TERSUAVE DILUYENTES";
"0165";"MATEZZ";
"0166";"LINEA AUTOPOLISH";
"0167";"NORTON";
"0168";"TECMEC";
"0169";"PPG ENVIROBASE";
"0170";"RUST OLEUM - ZINSSER";
"0171";"TERSUAVE AUTOMOTOR";
"0172";"USO INTERNO";
"0173";"SINTEPLAST INDUSTRIA";
"0174";"AKZO NOBEL - RENOVA CHALK";
"0175";"PLAVICON SISTEMA";
"0176";"CHAYTO";
"0177";"MEDIGLOVE";
"0178";"EINHELL";
"0179";"P&P";
"0180";"EXPERTO";
"0181";"RAPIFIX";
"0182";"EMAPI";
"0183";"PLACO";
"0184";"ISOVER";
"0185";"WEBER PINTURA Y AFINES";
"0186";"DIPROEL";
"0187";"TUYANGO";
"0188";"REDEFIBRA";
"0189";"PLAVICON INDUSTRIA";
"0190";"LIBELLE";
"0191";"3D / SHERWIN WILLIAMS";
"0192";"ALBAMIX";
"0193";"TDC TECNOLOGIA DEL COLOR";
"0194";"GRACO - SOUTHFLUID";
"0195";"VANGUARD";
"0196";"TABIPLAST";
"0900";"INSUMOS ESTABLECIMIENTOS";
"0901";"RECURSOS HUMANOS";
"0902";"PRODUCTOS DISCONTINUADOS";
"0903";"COMPRAS";
"0904";"ADMINISTRATIVO";
"0905";"MARKETING";
"0906";"OBSOLETOS";

